OSNR,instance,node_dst,node_src,amplifier_spacing,system_margin,fiber_loss,ampl_noise,constellation,volume,link_len,hops_id,guardband_l,guardband_r,traffic_l,traffic_r,constellation_l,constellation_r,path_id
7.529068985,1,3,14,100,8.367053885,0.2,5,2,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
4.572886898,1,3,14,100,8.367053885,0.2,5,4,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
1.470377124,1,3,14,100,8.367053885,0.2,5,8,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-0.030126491,1,3,14,100,8.367053885,0.2,5,16,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-1.203296369,1,3,14,100,8.367053885,0.2,5,32,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
-2.545697843,1,3,14,100,8.367053885,0.2,5,64,100,"(240, 80, 240, 240)","(3, 5, 7, 12, 14)",12.5,"37,5",350,100,16,8,1
12.20516712,1,3,14,100,2.801357788,0.2,5,2,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
9.285776983,1,3,14,100,2.801357788,0.2,5,4,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
6.186291975,1,3,14,100,2.801357788,0.2,5,8,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
4.690677962,1,3,14,100,2.801357788,0.2,5,16,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
3.508643406,1,3,14,100,2.801357788,0.2,5,32,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
2.169072431,1,3,14,100,2.801357788,0.2,5,64,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
6.1604969,1,3,14,100,8.840598064,0.2,5,2,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
3.261995549,1,3,14,100,8.840598064,0.2,5,4,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
0.15226438,1,3,14,100,8.840598064,0.2,5,8,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-1.354168692,1,3,14,100,8.840598064,0.2,5,16,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-2.525862528,1,3,14,100,8.840598064,0.2,5,32,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-3.862929975,1,3,14,100,8.840598064,0.2,5,64,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
8.990051213,1,3,14,100,6.011918401,0.2,5,2,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
6.081570775,1,3,14,100,6.011918401,0.2,5,4,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
2.97451475,1,3,14,100,6.011918401,0.2,5,8,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
1.470488362,1,3,14,100,6.011918401,0.2,5,16,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
0.30884643,1,3,14,100,6.011918401,0.2,5,32,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-1.036423679,1,3,14,100,6.011918401,0.2,5,64,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
12.33348608,1,3,14,100,2.66909236,0.2,5,2,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
9.433467357,1,3,14,100,2.66909236,0.2,5,4,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
6.323464173,1,3,14,100,2.66909236,0.2,5,8,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
4.82071568,1,3,14,100,2.66909236,0.2,5,16,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
3.650725591,1,3,14,100,2.66909236,0.2,5,32,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
2.292051816,1,3,14,100,2.66909236,0.2,5,64,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
10.69675151,1,3,14,100,4.306661181,0.2,5,2,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
7.802437304,1,3,14,100,4.306661181,0.2,5,4,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
4.680584675,1,3,14,100,4.306661181,0.2,5,8,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
3.176295458,1,3,14,100,4.306661181,0.2,5,16,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
2.008784415,1,3,14,100,4.306661181,0.2,5,32,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
0.669605558,1,3,14,100,4.306661181,0.2,5,64,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
6.404479149,1,3,14,100,8.605497982,0.2,5,2,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
3.493856777,1,3,14,100,8.605497982,0.2,5,4,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
0.376000438,1,3,14,100,8.605497982,0.2,5,8,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-1.118815593,1,3,14,100,8.605497982,0.2,5,16,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-2.290193523,1,3,14,100,8.605497982,0.2,5,32,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-3.630328835,1,3,14,100,8.605497982,0.2,5,64,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-3.256602453,1,3,14,100,18.25086595,0.2,5,2,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-6.154419401,1,3,14,100,18.25086595,0.2,5,4,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-9.259203068,1,3,14,100,18.25086595,0.2,5,8,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-10.76309555,1,3,14,100,18.25086595,0.2,5,16,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-11.92611462,1,3,14,100,18.25086595,0.2,5,32,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-13.29025627,1,3,14,100,18.25086595,0.2,5,64,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
7.267781692,1,3,14,100,7.732940067,0.2,5,2,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
4.36789257,1,3,14,100,7.732940067,0.2,5,4,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
1.25890241,1,3,14,100,7.732940067,0.2,5,8,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-0.248214412,1,3,14,100,7.732940067,0.2,5,16,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-1.415970246,1,3,14,100,7.732940067,0.2,5,32,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-2.757504932,1,3,14,100,7.732940067,0.2,5,64,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
5.798206647,1,3,14,100,9.201960559,0.2,5,2,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
2.905579744,1,3,14,100,9.201960559,0.2,5,4,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-0.204720781,1,3,14,100,9.201960559,0.2,5,8,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-1.717260156,1,3,14,100,9.201960559,0.2,5,16,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-2.887040316,1,3,14,100,9.201960559,0.2,5,32,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
-4.235773106,1,3,14,100,9.201960559,0.2,5,64,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
12.58544981,1,3,14,100,2.415373141,0.2,5,2,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
9.68380482,1,3,14,100,2.415373141,0.2,5,4,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
6.570183035,1,3,14,100,2.415373141,0.2,5,8,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
5.074776033,1,3,14,100,2.415373141,0.2,5,16,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
3.895179423,1,3,14,100,2.415373141,0.2,5,32,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
2.557423885,1,3,14,100,2.415373141,0.2,5,64,100,"(240, 240, 240, 240)","(3, 5, 9, 12, 14)",25.0,50,450,450,2,16,2
